No.,Capture Time,Plate No.,
20,04-08-2019 6:00:00,Z77HD,
19,04-09-2019 17:14:00,Z664FAX,
18,04-09-2019 16:54:00,145P8X,
17,04-09-2019 16:48:00,1790PS,
16,04-09-2019 16:36:00,JWT,
15,04-09-2019 16:33:00,TZK44,
14,04-09-2019 16:32:00,UHYBB,
13,04-09-2019 16:24:00,EXWY07,
12,04-09-2019 16:20:00,VSC92,
11,04-09-2019 16:16:00,141PXS,
10,04-09-2019 16:16:00,CNCX70,
9,04-09-2019 15:42:00,JYTP26,
8,04-09-2019 15:39:00,Z84EFD,
7,04-09-2019 15:38:00,Z51HAN,
6,04-09-2019 15:37:00,DV,
5,04-09-2019 15:37:00,DXV6,
4,04-09-2019 15:36:00,DGWL84,
3,04-09-2019 15:33:00,147VY,
2,04-09-2019 15:28:00,TLNE80,
1,04-09-2019 15:25:00,602NRC,
0,04-09-2019 15:20:00,677PPS,
